,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,1.2392314546136014,1.42615686237267,0.35303415992912046,1.0936254092915183,0.9315516150045633,0.3768265915639622,1.1204132490399976,1.073205080944116,0.291103812982091,0.9488602054119015,1.1554560619101404,0.37569331899811276,1.6105615196339211,1.5845408446929128,1.3573702427369407,0.8463891469760875,0.32213399572596574,1.3394268387758483,1.1719511989927116,1.2770913109455388,1.0328859928519574,0.331807732099627,1.211552453058401,1.084075642017974,0.9373110292239831,1.3839083836616801,0.4816698055541595,1.234241919280384,1.5294896662880548,0.47816231242000934,1.2006265057325805,0.5021398039579082,1.1157678654865983,1.281369022842513,1.385152338024767,1.1763464612313876,0.33822552417291096,1.1221548283965472,1.223708051333766,1.3607672044962968,1.1117010172752593
b_large,1.2392314546136014,0.0,1.305949370185029,0.9525278901743953,0.36733169358389084,1.3253813035342459,0.9572385183917196,0.30157587615229603,0.9370720475581598,1.0080084146989097,0.37882957810526463,1.136702023840508,1.072229820796588,0.45184006536242705,0.9826130303414762,1.2772345252470887,1.344560281736312,1.2591314127120166,0.5189857987302201,1.2157991750353003,1.2468935969991295,1.1890572283203036,1.3030608493399882,0.3129048803606838,1.0832982853224182,1.175168426761883,1.179112127936951,1.0182968904584992,0.7059406573870582,0.8466279078390458,1.0445740455012924,1.2173553898325493,1.3857826861295892,0.47456626636453336,1.1246638459754328,1.051237264738405,1.3050759128914886,1.3103383025840962,0.4890893138031504,1.0601782341811912,1.0427273032993165,1.211217004889429
b_normal_rot90,1.42615686237267,1.305949370185029,0.0,1.0396082041254957,0.7911639156251681,0.2695554034535757,0.7566925652573073,1.2725416541331553,0.935285079564466,0.8792720411159497,1.036201926438771,0.3528849510639807,0.9767612461062178,1.4253113362727483,1.2666010601253637,1.2936430968102088,0.2922986436429676,1.108978165834804,1.424070875933904,1.087625791826668,0.87070180583728,0.47713709351108224,1.1419918119545438,1.2475517880558662,1.1381381969834992,1.0948924945254404,0.5132893527700028,1.2262803409048395,1.3441566480645275,1.1933991774930806,1.408289061274976,0.34457136009938133,1.2432927157208866,1.2674529970305521,1.0486388607673773,1.1184977557569886,0.274557487675248,1.2110274913012697,1.241649767884828,1.363057677330621,1.3503943793868092,0.2852025482562377
d_normal,0.35303415992912046,0.9525278901743953,1.0396082041254957,0.0,1.237520557763651,0.6904852070967621,0.30357460762513605,1.0568483039715963,0.6033332209316558,0.2915891155381041,1.4363470784152503,1.1363900553484902,0.5115066347896143,1.3307349423343668,1.0163930087547917,0.984391388358498,0.8312753452461258,0.6083354448928454,1.2992853609092982,0.9664730375372966,0.9221945705874056,1.146991608515604,0.38611549602488704,1.4061035698778832,1.1482660443168717,1.1452963196462902,1.5640470270147775,0.6151132445606783,1.2366338826884784,1.0613080143894207,0.5023555366302671,1.2114041926716783,0.6132872455180546,1.4334845383347077,1.1453543995867015,1.2048518522546445,1.1522871667864159,0.31835451778171203,1.5949412846452293,1.0502382369989494,0.9069897793739551,1.2800125504089697
d_large,1.0936254092915183,0.36733169358389084,0.7911639156251681,1.237520557763651,0.0,0.960699184728004,0.7764493721675165,0.3316942381894982,1.038856483635507,1.1510468108752605,0.43021697046448054,1.1503937203272183,1.3313458634538873,0.3060397952936196,1.3530551816064145,0.9217732716529887,1.323367930199564,1.6821573231836457,0.6775188215990582,1.1880660100521228,0.9445460292843224,1.671856559523656,0.7526393048620402,0.44015267376579925,1.2026119413897565,1.285207656617084,1.0581650990561584,0.9280646400694761,0.616570251880397,1.2903704288150561,0.8309614381081363,1.4272528405598588,1.5076862211674884,0.4467951162803603,1.3768618772754486,1.6590179152971283,1.2496814597593264,0.8885631494874373,0.44957388790076314,1.5089579821677022,1.5850735121196147,1.318812845465677
d_normal_rot90,0.9315516150045633,1.3253813035342459,0.2695554034535757,0.6904852070967621,0.960699184728004,0.0,1.166949462635019,0.9991881356766773,0.6202793498212688,1.2189813943578727,1.1748763658712877,0.2980388323809153,1.2872015724336758,1.4209719919732535,1.6689356767467014,1.166134303149285,0.34842819952480386,1.3918915805465368,1.5934699212018488,0.62170862395763,1.4637915248806255,0.7662912739062283,1.1756623690520644,1.040375782466776,1.0382240938547165,0.6867198639798406,0.5820978698743919,1.3916456867004556,1.3515518935677797,1.105456724505574,1.0803791921971035,0.555348052457087,1.2397725516062374,1.0034178727088823,1.0011822741148684,1.619556881366959,0.6605887586039793,1.1251237916921133,1.136131461106896,1.3104719258073048,0.9707747032896412,0.4726165703459356
q_normal,0.3768265915639622,0.9572385183917196,0.7566925652573073,0.30357460762513605,0.7764493721675165,1.166949462635019,0.0,1.1275857925514192,1.3534356462665011,0.2815508133901946,1.124610629413116,1.2710888623615906,0.24065876687867632,1.2019930577151539,1.5262716347700356,0.6758229282072428,1.1933472341461966,0.45114818842157595,0.4822992771215914,1.4411044719512571,1.0386597308091707,1.558272989033791,0.35871917429231975,1.1044917194610238,1.4064223444659554,1.0661146997221944,1.1944574387127658,1.0333869036975838,1.1370709616587573,1.1697928432499554,1.2584942101857097,1.2504523428783576,0.37731286594706015,1.0560131299095772,1.0287689601210581,0.7992396130357037,0.8510309725166609,0.27581251768072207,0.989720625405789,1.5439260331229874,0.9420677453010251,1.249385252559041
q_large,1.1204132490399976,0.30157587615229603,1.2725416541331553,1.0568483039715963,0.3316942381894982,0.9991881356766773,1.1275857925514192,0.0,0.946100230190475,1.4720840826749118,0.5505380925450287,1.076304827445055,1.2758802997660368,0.3933204675172557,1.5346608120787248,1.3054675847989323,1.1372194258753479,0.9962012485905556,0.5571793473871247,1.120497620437769,0.9128065641124736,1.4695685028185719,1.2958038240898304,0.2972545054249925,1.5468358732873009,1.2485224060175322,0.995486153371187,0.9305909323958402,0.5508981588759445,1.1916790454895567,1.4409702996937759,1.1608591508089594,1.0525425597446114,0.5195208530180674,1.388391443116231,1.3847179901338904,1.1509204658557564,0.9814732688384996,0.4205095874677746,1.1070810184520985,1.6344544592781223,1.5169510572189553
q_normal_rot90,1.073205080944116,0.9370720475581598,0.935285079564466,0.6033332209316558,1.038856483635507,0.6202793498212688,1.3534356462665011,0.946100230190475,0.0,1.5557915925374948,0.8531212586746376,1.0810518185946663,1.0688960302579256,1.1115366619796938,1.0942243804860055,1.0919296435741586,0.7012880241490596,1.2797389312675105,1.247115724705734,1.108890769250469,1.1022665279322397,0.8343338462918479,1.1411043495288835,1.0320303567943505,1.2341697937286824,0.8925977128630807,0.9084492167377903,0.8954078235488105,0.9118326666025226,1.0010612537139771,1.6154964621592254,1.5544082275487217,1.084115431616572,0.9096529992576554,0.8436768450845538,1.1751182852299737,0.5129533734403968,0.8232292988544634,1.136702023840508,1.2295132377182174,0.8165207504244035,1.4240788534039086
p_normal,0.291103812982091,1.0080084146989097,0.8792720411159497,0.2915891155381041,1.1510468108752605,1.2189813943578727,0.2815508133901946,1.4720840826749118,1.5557915925374948,0.0,0.656085158561609,0.9381533849711489,0.33871598513617446,1.0703043144379412,1.398338427881299,1.0939526516664917,0.7735278849247259,0.47174235988205027,0.9687793307632554,1.3695473563759748,0.8281675642877093,0.996732991742521,0.3297386274789285,1.2650352455712075,1.5738469001603745,1.3401449172350588,1.3599527681575594,0.5931773629705391,1.2449732661861252,1.1202456753652976,0.8127702734991515,1.0652772931108752,0.5311908495272093,1.295945516147667,1.0991200507921104,1.0907744847676384,0.9415101089971082,0.3294452641045071,0.42192433754895053,1.2386891566141085,1.5664648264960275,0.9159371063628903
